2.703704,254.148148
4.055556,200.074074
17.574074,162.222222
37.851852,113.555556
67.592593,82.462963
98.685185,48.666667
129.777778,29.740741
163.574074,13.518519
198.722222,9.462963
233.870370,0.000000
274.425926,0.000000
298.759259,4.055556
314.981481,8.111111
332.555556,12.166667
348.777778,14.870370
367.703704,24.333333
385.277778,32.444444
396.092593,43.259259
408.259259,48.666667
417.722222,59.481481
427.185185,68.944444
438.000000,82.462963
446.111111,89.222222
456.925926,100.037037
463.685185,109.500000
470.444444,120.314815
479.907407,133.833333
483.962963,152.759259
492.074074,167.629630
498.833333,186.555556
504.240741,214.944444
505.592593,237.925926
504.240741,262.259259
502.888889,278.481481
504.240741,308.222222
492.074074,339.314815
482.611111,360.944444
467.740741,386.629630
455.574074,404.203704
444.759259,421.777778
425.833333,439.351852
406.907407,450.166667
396.092593,454.222222
392.037037,462.333333
390.685185,463.685185
379.870370,471.796296
373.111111,473.148148
369.055556,477.203704
365.000000,481.259259
347.425926,483.962963
324.444444,494.777778
309.574074,504.240741
283.888889,508.296296
252.796296,504.240741
228.462963,506.944444
191.962963,501.537037
166.277778,489.370370
150.055556,483.962963
124.370370,473.148148
104.092593,463.685185
83.814815,444.759259
56.777778,412.314815
41.907407,393.388889
35.148148,377.166667
18.925926,360.944444
10.814815,323.092593
2.703704,287.944444
